gold,Program,MethodType,RequirementID,MethodID,classGold,VariableTraceValue
N,chess,Leaf,2,32,NoTrace,U
N,chess,Leaf,3,32,NoTrace,U
N,chess,Leaf,4,32,NoTrace,U
N,chess,Leaf,5,32,Trace,U
N,chess,Leaf,6,32,NoTrace,U
N,chess,Leaf,7,32,NoTrace,U
N,chess,Leaf,8,32,NoTrace,U
T,chess,Leaf,1,33,Trace,T
N,chess,Leaf,2,33,NoTrace,N
N,chess,Leaf,3,33,NoTrace,N
N,chess,Leaf,4,33,NoTrace,N
N,chess,Leaf,5,33,Trace,N
N,chess,Leaf,6,33,NoTrace,N
N,chess,Leaf,7,33,NoTrace,N
N,chess,Leaf,8,33,NoTrace,N
T,chess,Inner,1,34,Trace,T
N,chess,Inner,2,34,NoTrace,N
N,chess,Inner,3,34,NoTrace,N
N,chess,Inner,4,34,NoTrace,N
N,chess,Inner,5,34,Trace,N
N,chess,Inner,6,34,NoTrace,N
N,chess,Inner,7,34,NoTrace,N
N,chess,Inner,8,34,NoTrace,N
T,chess,Inner,1,35,Trace,U
N,chess,Inner,2,35,NoTrace,U
N,chess,Inner,3,35,NoTrace,U
N,chess,Inner,4,35,NoTrace,U
N,chess,Inner,5,35,Trace,U
N,chess,Inner,6,35,NoTrace,U
N,chess,Inner,7,35,NoTrace,U
N,chess,Inner,8,35,NoTrace,U
T,chess,Leaf,1,36,Trace,T
N,chess,Leaf,2,36,NoTrace,N
N,chess,Leaf,3,36,NoTrace,N
N,chess,Leaf,4,36,NoTrace,N
N,chess,Leaf,5,36,Trace,N
N,chess,Leaf,6,36,NoTrace,N
N,chess,Leaf,7,36,NoTrace,N
N,chess,Leaf,8,36,NoTrace,N
T,chess,Inner,1,38,Trace,U
N,chess,Inner,2,38,NoTrace,U
N,chess,Inner,3,38,NoTrace,U
N,chess,Inner,4,38,NoTrace,U
N,chess,Inner,5,38,NoTrace,U
N,chess,Inner,6,38,NoTrace,U
N,chess,Inner,7,38,NoTrace,U
N,chess,Inner,8,38,NoTrace,U
T,chess,Inner,1,40,Trace,U
N,chess,Inner,2,40,NoTrace,U
N,chess,Inner,3,40,NoTrace,U
N,chess,Inner,4,40,NoTrace,U
N,chess,Inner,5,40,NoTrace,U
N,chess,Inner,6,40,NoTrace,U
N,chess,Inner,7,40,NoTrace,U
N,chess,Inner,8,40,NoTrace,U
T,chess,Leaf,1,42,Trace,U
N,chess,Leaf,2,42,NoTrace,U
N,chess,Leaf,3,42,NoTrace,U
N,chess,Leaf,4,42,NoTrace,U
N,chess,Leaf,5,42,NoTrace,U
N,chess,Leaf,6,42,NoTrace,U
N,chess,Leaf,7,42,NoTrace,U
N,chess,Leaf,8,42,NoTrace,U
T,chess,Inner,1,43,Trace,U
N,chess,Inner,2,43,NoTrace,U
N,chess,Inner,3,43,NoTrace,U
N,chess,Inner,4,43,NoTrace,U
N,chess,Inner,5,43,NoTrace,U
N,chess,Inner,6,43,NoTrace,U
N,chess,Inner,7,43,NoTrace,U
N,chess,Inner,8,43,NoTrace,U
T,chess,Leaf,1,44,Trace,U
N,chess,Leaf,2,44,NoTrace,U
N,chess,Leaf,3,44,NoTrace,U
N,chess,Leaf,4,44,NoTrace,U
N,chess,Leaf,5,44,NoTrace,U
N,chess,Leaf,6,44,NoTrace,U
N,chess,Leaf,7,44,NoTrace,U
N,chess,Leaf,8,44,NoTrace,U
T,chess,Inner,1,45,Trace,U
N,chess,Inner,2,45,NoTrace,U
N,chess,Inner,3,45,NoTrace,U
N,chess,Inner,4,45,NoTrace,U
N,chess,Inner,5,45,NoTrace,U
N,chess,Inner,6,45,NoTrace,U
N,chess,Inner,7,45,NoTrace,U
N,chess,Inner,8,45,NoTrace,U
T,chess,Inner,1,47,Trace,U
N,chess,Inner,2,47,NoTrace,U
N,chess,Inner,3,47,NoTrace,U
N,chess,Inner,4,47,NoTrace,U
N,chess,Inner,5,47,NoTrace,U
N,chess,Inner,6,47,NoTrace,U
N,chess,Inner,7,47,NoTrace,U
N,chess,Inner,8,47,NoTrace,U
T,chess,Inner,1,49,Trace,T
N,chess,Inner,2,49,NoTrace,N
N,chess,Inner,3,49,NoTrace,N
N,chess,Inner,4,49,NoTrace,N
N,chess,Inner,5,49,NoTrace,N
N,chess,Inner,6,49,Trace,T
N,chess,Inner,7,49,Trace,T
N,chess,Inner,8,49,NoTrace,N
T,chess,Inner,1,50,Trace,T
N,chess,Inner,2,50,NoTrace,N
N,chess,Inner,3,50,NoTrace,N
N,chess,Inner,4,50,NoTrace,N
N,chess,Inner,5,50,NoTrace,N
N,chess,Inner,6,50,Trace,T
N,chess,Inner,7,50,Trace,T
N,chess,Inner,8,50,NoTrace,N
N,chess,Inner,1,52,Trace,T
N,chess,Inner,2,52,NoTrace,N
N,chess,Inner,3,52,NoTrace,N
N,chess,Inner,4,52,NoTrace,N
N,chess,Inner,5,52,NoTrace,N
T,chess,Inner,6,52,Trace,T
T,chess,Inner,7,52,Trace,T
N,chess,Inner,8,52,NoTrace,N
T,chess,Inner,1,53,Trace,U
N,chess,Inner,2,53,NoTrace,U
N,chess,Inner,3,53,NoTrace,U
N,chess,Inner,4,53,NoTrace,U
N,chess,Inner,5,53,NoTrace,U
N,chess,Inner,6,53,Trace,U
N,chess,Inner,7,53,Trace,U
N,chess,Inner,8,53,NoTrace,U
N,chess,Root,1,54,Trace,U
N,chess,Root,2,54,NoTrace,U
N,chess,Root,3,54,NoTrace,U
N,chess,Root,4,54,NoTrace,U
N,chess,Root,5,54,NoTrace,U
T,chess,Root,6,54,Trace,U
T,chess,Root,7,54,Trace,U
N,chess,Root,8,54,NoTrace,U
N,chess,Inner,1,55,Trace,N
N,chess,Inner,2,55,NoTrace,N
N,chess,Inner,3,55,NoTrace,N
N,chess,Inner,4,55,NoTrace,N
N,chess,Inner,5,55,NoTrace,N
T,chess,Inner,6,55,Trace,T
T,chess,Inner,7,55,Trace,T
N,chess,Inner,8,55,NoTrace,N
T,chess,Inner,1,60,Trace,T
N,chess,Inner,2,60,Trace,T
N,chess,Inner,3,60,NoTrace,N
N,chess,Inner,4,60,Trace,T
N,chess,Inner,5,60,NoTrace,N
N,chess,Inner,6,60,Trace,T
N,chess,Inner,7,60,Trace,T
N,chess,Inner,8,60,NoTrace,N
N,chess,Inner,1,61,Trace,T
N,chess,Inner,2,61,Trace,T
N,chess,Inner,3,61,NoTrace,N
N,chess,Inner,4,61,Trace,T
N,chess,Inner,5,61,NoTrace,N
T,chess,Inner,6,61,Trace,T
T,chess,Inner,7,61,Trace,T
N,chess,Inner,8,61,NoTrace,N
N,chess,Inner,1,62,Trace,U
N,chess,Inner,2,62,Trace,U
N,chess,Inner,3,62,NoTrace,U
N,chess,Inner,4,62,Trace,U
N,chess,Inner,5,62,NoTrace,U
T,chess,Inner,6,62,Trace,U
T,chess,Inner,7,62,Trace,U
N,chess,Inner,8,62,NoTrace,U
N,chess,Leaf,1,64,Trace,T
N,chess,Leaf,2,64,Trace,T
N,chess,Leaf,3,64,NoTrace,N
N,chess,Leaf,4,64,Trace,T
N,chess,Leaf,5,64,NoTrace,N
T,chess,Leaf,6,64,Trace,T
T,chess,Leaf,7,64,Trace,T
N,chess,Leaf,8,64,NoTrace,N
N,chess,Root,1,65,Trace,U
N,chess,Root,2,65,Trace,U
N,chess,Root,3,65,NoTrace,U
N,chess,Root,4,65,Trace,U
N,chess,Root,5,65,NoTrace,U
T,chess,Root,6,65,Trace,U
T,chess,Root,7,65,Trace,U
N,chess,Root,8,65,NoTrace,U
N,chess,Leaf,1,67,Trace,T
N,chess,Leaf,2,67,Trace,T
N,chess,Leaf,3,67,NoTrace,N
N,chess,Leaf,4,67,Trace,T
N,chess,Leaf,5,67,NoTrace,N
T,chess,Leaf,6,67,Trace,T
T,chess,Leaf,7,67,Trace,T
N,chess,Leaf,8,67,NoTrace,N
T,chess,Inner,1,68,Trace,T
T,chess,Inner,2,68,Trace,T
N,chess,Inner,3,68,NoTrace,N
T,chess,Inner,4,68,Trace,T
N,chess,Inner,5,68,NoTrace,N
T,chess,Inner,6,68,Trace,T
T,chess,Inner,7,68,Trace,T
N,chess,Inner,8,68,NoTrace,N
N,chess,Leaf,1,69,Trace,T
N,chess,Leaf,2,69,Trace,T
N,chess,Leaf,3,69,NoTrace,N
N,chess,Leaf,4,69,Trace,T
N,chess,Leaf,5,69,NoTrace,N
T,chess,Leaf,6,69,Trace,T
T,chess,Leaf,7,69,Trace,T
N,chess,Leaf,8,69,NoTrace,N
T,chess,Inner,1,70,Trace,T
T,chess,Inner,2,70,Trace,T
N,chess,Inner,3,70,NoTrace,N
T,chess,Inner,4,70,Trace,T
N,chess,Inner,5,70,NoTrace,N
T,chess,Inner,6,70,Trace,T
T,chess,Inner,7,70,Trace,T
N,chess,Inner,8,70,NoTrace,N
T,chess,Inner,1,71,Trace,T
T,chess,Inner,2,71,Trace,T
N,chess,Inner,3,71,NoTrace,N
T,chess,Inner,4,71,Trace,T
N,chess,Inner,5,71,NoTrace,N
T,chess,Inner,6,71,Trace,T
T,chess,Inner,7,71,Trace,T
N,chess,Inner,8,71,NoTrace,N
T,chess,Inner,1,124,Trace,U
N,chess,Inner,2,124,NoTrace,U
N,chess,Inner,3,124,NoTrace,U
N,chess,Inner,4,124,Trace,U
N,chess,Inner,5,124,NoTrace,U
N,chess,Inner,6,124,Trace,U
N,chess,Inner,7,124,Trace,U
N,chess,Inner,8,124,NoTrace,U
N,chess,Inner,1,125,Trace,T
N,chess,Inner,2,125,NoTrace,T
N,chess,Inner,3,125,NoTrace,N
N,chess,Inner,4,125,Trace,T
N,chess,Inner,5,125,NoTrace,N
N,chess,Inner,6,125,Trace,T
T,chess,Inner,7,125,Trace,T
N,chess,Inner,8,125,NoTrace,N
N,chess,Root,1,126,Trace,U
N,chess,Root,2,126,NoTrace,U
N,chess,Root,3,126,NoTrace,U
N,chess,Root,4,126,Trace,U
N,chess,Root,5,126,NoTrace,U
N,chess,Root,6,126,Trace,U
T,chess,Root,7,126,Trace,U
N,chess,Root,8,126,NoTrace,U
N,chess,Leaf,1,127,Trace,N
N,chess,Leaf,2,127,NoTrace,N
N,chess,Leaf,3,127,NoTrace,N
N,chess,Leaf,4,127,Trace,N
N,chess,Leaf,5,127,NoTrace,N
T,chess,Leaf,6,127,Trace,T
T,chess,Leaf,7,127,Trace,T
N,chess,Leaf,8,127,NoTrace,N
N,chess,Leaf,1,128,Trace,T
N,chess,Leaf,2,128,NoTrace,N
N,chess,Leaf,3,128,NoTrace,N
N,chess,Leaf,4,128,Trace,T
N,chess,Leaf,5,128,NoTrace,N
N,chess,Leaf,6,128,Trace,N
T,chess,Leaf,7,128,Trace,T
N,chess,Leaf,8,128,NoTrace,N
N,chess,Leaf,1,129,Trace,T
N,chess,Leaf,2,129,NoTrace,N
N,chess,Leaf,3,129,NoTrace,N
N,chess,Leaf,4,129,Trace,T
N,chess,Leaf,5,129,NoTrace,N
T,chess,Leaf,6,129,Trace,T
T,chess,Leaf,7,129,Trace,T
N,chess,Leaf,8,129,NoTrace,N
N,chess,Inner,1,130,Trace,T
N,chess,Inner,2,130,NoTrace,T
N,chess,Inner,3,130,NoTrace,N
N,chess,Inner,4,130,Trace,T
N,chess,Inner,5,130,NoTrace,N
T,chess,Inner,6,130,Trace,T
T,chess,Inner,7,130,Trace,T
N,chess,Inner,8,130,NoTrace,N
N,chess,Root,1,131,Trace,U
N,chess,Root,2,131,NoTrace,U
N,chess,Root,3,131,NoTrace,U
N,chess,Root,4,131,Trace,U
N,chess,Root,5,131,NoTrace,U
T,chess,Root,6,131,Trace,U
T,chess,Root,7,131,Trace,U
N,chess,Root,8,131,NoTrace,U
N,chess,Leaf,1,132,Trace,N
N,chess,Leaf,2,132,NoTrace,N
N,chess,Leaf,3,132,NoTrace,N
N,chess,Leaf,4,132,Trace,N
N,chess,Leaf,5,132,NoTrace,N
T,chess,Leaf,6,132,Trace,T
T,chess,Leaf,7,132,Trace,T
N,chess,Leaf,8,132,NoTrace,N
T,chess,Leaf,1,133,Trace,T
N,chess,Leaf,2,133,NoTrace,N
N,chess,Leaf,3,133,NoTrace,N
T,chess,Leaf,4,133,Trace,T
N,chess,Leaf,5,133,NoTrace,N
N,chess,Leaf,6,133,Trace,N
N,chess,Leaf,7,133,Trace,T
N,chess,Leaf,8,133,NoTrace,N
N,chess,Leaf,1,134,Trace,N
N,chess,Leaf,2,134,NoTrace,N
N,chess,Leaf,3,134,NoTrace,N
N,chess,Leaf,4,134,Trace,N
N,chess,Leaf,5,134,NoTrace,N
N,chess,Leaf,6,134,Trace,N
T,chess,Leaf,7,134,Trace,T
N,chess,Leaf,8,134,NoTrace,N
T,chess,Leaf,1,135,Trace,T
N,chess,Leaf,2,135,NoTrace,N
N,chess,Leaf,3,135,NoTrace,N
T,chess,Leaf,4,135,Trace,T
N,chess,Leaf,5,135,NoTrace,N
N,chess,Leaf,6,135,Trace,T
N,chess,Leaf,7,135,Trace,T
N,chess,Leaf,8,135,NoTrace,N
N,chess,Leaf,1,136,Trace,N
N,chess,Leaf,2,136,NoTrace,N
N,chess,Leaf,3,136,NoTrace,N
N,chess,Leaf,4,136,Trace,N
N,chess,Leaf,5,136,NoTrace,N
N,chess,Leaf,6,136,Trace,N
T,chess,Leaf,7,136,Trace,T
N,chess,Leaf,8,136,NoTrace,N
T,chess,Inner,1,153,Trace,T
N,chess,Inner,2,153,Trace,T
N,chess,Inner,3,153,NoTrace,N
N,chess,Inner,4,153,Trace,N
N,chess,Inner,5,153,Trace,T
N,chess,Inner,6,153,Trace,T
N,chess,Inner,7,153,Trace,T
N,chess,Inner,8,153,NoTrace,N
N,chess,Inner,1,155,Trace,T
N,chess,Inner,2,155,Trace,T
N,chess,Inner,3,155,NoTrace,N
N,chess,Inner,4,155,Trace,N
N,chess,Inner,5,155,Trace,T
T,chess,Inner,6,155,Trace,T
T,chess,Inner,7,155,Trace,T
N,chess,Inner,8,155,NoTrace,N
T,chess,Leaf,1,156,Trace,T
N,chess,Leaf,2,156,Trace,N
N,chess,Leaf,3,156,NoTrace,N
N,chess,Leaf,4,156,Trace,N
N,chess,Leaf,5,156,Trace,N
N,chess,Leaf,6,156,Trace,T
N,chess,Leaf,7,156,Trace,T
N,chess,Leaf,8,156,NoTrace,N
N,chess,Inner,1,158,Trace,T
N,chess,Inner,2,158,Trace,N
N,chess,Inner,3,158,NoTrace,N
N,chess,Inner,4,158,Trace,N
N,chess,Inner,5,158,Trace,N
N,chess,Inner,6,158,Trace,T
T,chess,Inner,7,158,Trace,T
N,chess,Inner,8,158,NoTrace,N
N,chess,Root,1,159,Trace,T
N,chess,Root,2,159,Trace,N
N,chess,Root,3,159,NoTrace,N
N,chess,Root,4,159,Trace,N
N,chess,Root,5,159,Trace,N
T,chess,Root,6,159,Trace,T
T,chess,Root,7,159,Trace,T
N,chess,Root,8,159,NoTrace,N
T,chess,Leaf,1,160,Trace,T
N,chess,Leaf,2,160,Trace,N
N,chess,Leaf,3,160,NoTrace,N
N,chess,Leaf,4,160,Trace,N
N,chess,Leaf,5,160,Trace,N
N,chess,Leaf,6,160,Trace,N
N,chess,Leaf,7,160,Trace,N
N,chess,Leaf,8,160,NoTrace,N
N,chess,Leaf,1,162,Trace,T
N,chess,Leaf,2,162,Trace,T
N,chess,Leaf,3,162,NoTrace,N
T,chess,Leaf,4,162,Trace,T
N,chess,Leaf,5,162,Trace,N
N,chess,Leaf,6,162,Trace,N
N,chess,Leaf,7,162,Trace,T
N,chess,Leaf,8,162,NoTrace,N
N,chess,Leaf,1,163,Trace,T
N,chess,Leaf,2,163,Trace,N
N,chess,Leaf,3,163,NoTrace,N
N,chess,Leaf,4,163,Trace,N
N,chess,Leaf,5,163,Trace,N
T,chess,Leaf,6,163,Trace,T
T,chess,Leaf,7,163,Trace,T
N,chess,Leaf,8,163,NoTrace,N
N,chess,Root,1,164,Trace,T
N,chess,Root,2,164,Trace,N
N,chess,Root,3,164,NoTrace,N
N,chess,Root,4,164,Trace,N
N,chess,Root,5,164,Trace,N
T,chess,Root,6,164,Trace,T
T,chess,Root,7,164,Trace,T
N,chess,Root,8,164,NoTrace,N
T,chess,Leaf,1,165,Trace,T
N,chess,Leaf,2,165,Trace,N
N,chess,Leaf,3,165,NoTrace,N
N,chess,Leaf,4,165,Trace,N
N,chess,Leaf,5,165,Trace,N
N,chess,Leaf,6,165,Trace,N
T,chess,Leaf,7,165,Trace,T
N,chess,Leaf,8,165,NoTrace,N
T,chess,Inner,1,166,Trace,U
N,chess,Inner,2,166,Trace,U
N,chess,Inner,3,166,NoTrace,U
N,chess,Inner,4,166,Trace,U
N,chess,Inner,5,166,Trace,U
N,chess,Inner,6,166,Trace,U
N,chess,Inner,7,166,Trace,U
N,chess,Inner,8,166,NoTrace,U
T,chess,Leaf,1,167,Trace,T
T,chess,Leaf,2,167,Trace,T
N,chess,Leaf,3,167,NoTrace,N
N,chess,Leaf,4,167,Trace,N
N,chess,Leaf,5,167,Trace,N
N,chess,Leaf,6,167,Trace,N
N,chess,Leaf,7,167,Trace,N
N,chess,Leaf,8,167,NoTrace,N
T,chess,Leaf,1,168,Trace,T
N,chess,Leaf,2,168,Trace,N
N,chess,Leaf,3,168,NoTrace,N
N,chess,Leaf,4,168,Trace,N
N,chess,Leaf,5,168,Trace,N
N,chess,Leaf,6,168,Trace,N
N,chess,Leaf,7,168,Trace,N
N,chess,Leaf,8,168,NoTrace,N
T,chess,Root,1,169,Trace,T
N,chess,Root,2,169,Trace,N
N,chess,Root,3,169,NoTrace,N
N,chess,Root,4,169,Trace,N
N,chess,Root,5,169,Trace,N
N,chess,Root,6,169,Trace,N
N,chess,Root,7,169,Trace,N
N,chess,Root,8,169,NoTrace,N
T,chess,Leaf,1,170,Trace,T
N,chess,Leaf,2,170,Trace,N
N,chess,Leaf,3,170,NoTrace,N
N,chess,Leaf,4,170,Trace,N
N,chess,Leaf,5,170,Trace,N
N,chess,Leaf,6,170,Trace,N
N,chess,Leaf,7,170,Trace,N
N,chess,Leaf,8,170,NoTrace,N
N,chess,Leaf,1,171,Trace,T
N,chess,Leaf,2,171,Trace,N
N,chess,Leaf,3,171,NoTrace,N
N,chess,Leaf,4,171,Trace,N
N,chess,Leaf,5,171,Trace,N
T,chess,Leaf,6,171,Trace,T
T,chess,Leaf,7,171,Trace,T
N,chess,Leaf,8,171,NoTrace,N
N,chess,Leaf,1,172,Trace,T
N,chess,Leaf,2,172,Trace,N
N,chess,Leaf,3,172,NoTrace,N
N,chess,Leaf,4,172,Trace,N
N,chess,Leaf,5,172,Trace,N
N,chess,Leaf,6,172,Trace,N
T,chess,Leaf,7,172,Trace,T
N,chess,Leaf,8,172,NoTrace,N
T,chess,Inner,1,173,Trace,U
N,chess,Inner,2,173,Trace,U
N,chess,Inner,3,173,NoTrace,U
