ProgramName,MethodType,RequirementID,MethodID,MethodType,CallersT,CallersN,CallersU,CallersCallersT,CallersCallersN,CallersCallersU,CalleesT,CalleesN,CalleesU,CalleesCalleesT,CalleesCalleesN,CalleesCalleesU,pred,gold
2,0,8,2991,0,1,1,0,1,1,0,0,1,0,0,1,0,N,N
1,0,2,526,0,1,1,0,1,1,0,0,1,0,0,0,1,N,N
1,1,9,1701,0,1,1,0,0,1,0,0,0,0,0,0,0,N,N
1,1,8,4892,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N
1,0,16,1752,0,0,1,0,0,1,0,0,1,0,0,1,0,N,N
1,0,6,2308,0,0,1,0,1,1,0,0,1,0,0,0,0,N,N
2,2,27,543,0,0,0,0,0,0,0,0,1,0,0,1,0,N,N
1,0,2,4109,0,1,0,0,1,1,0,0,1,0,0,0,0,N,N
1,1,6,2299,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N
3,0,14,2705,0,0,1,0,0,0,0,1,0,0,1,1,0,N,N
1,1,9,3985,0,0,1,0,0,1,0,0,0,0,0,0,0,N,N
1,2,3,3578,0,0,0,0,0,0,0,0,1,0,1,0,0,N,N
2,0,21,3006,0,1,1,0,1,1,0,0,1,0,0,1,0,N,N
2,0,9,4655,0,1,1,0,0,1,0,0,1,0,0,1,0,N,N
3,2,21,1055,0,0,0,0,0,0,0,0,1,0,0,1,0,N,N
2,0,6,3098,0,0,1,0,0,1,0,0,1,0,0,1,0,N,N
1,2,4,1813,0,0,0,0,0,0,0,1,1,0,0,0,0,N,N
1,0,11,2065,0,1,1,0,1,0,0,0,1,0,0,0,0,N,N
1,1,12,1359,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N
0,0,4,181,0,1,0,0,1,1,0,1,1,0,1,1,1,N,N
1,0,7,2316,0,0,1,0,1,1,0,0,1,0,0,0,0,N,N
2,0,27,1111,0,0,1,0,0,0,0,1,1,0,0,1,0,N,N
1,1,17,601,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N
0,0,2,394,0,1,0,0,0,0,0,0,1,0,0,0,0,N,N
1,1,7,2830,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N
2,0,32,1069,0,0,1,0,0,1,0,1,0,0,0,1,0,N,N
1,2,13,1392,0,0,0,0,0,0,0,1,0,0,0,0,0,N,N
1,1,6,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N
1,0,5,156,0,0,1,0,1,0,0,1,0,0,1,0,0,N,N
3,2,5,384,0,0,0,0,0,0,0,1,1,0,1,1,0,N,N
3,2,20,352,0,0,0,0,0,0,0,1,0,0,0,1,0,N,N
3,2,17,2597,0,0,0,0,0,0,0,1,0,0,1,1,0,N,N
0,0,3,652,0,1,0,0,1,0,0,1,0,0,0,0,0,N,N
1,1,11,2753,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N
1,1,12,4060,0,1,0,0,1,1,0,0,0,0,0,0,0,N,N
3,0,19,266,0,1,0,0,1,0,0,1,1,0,0,1,0,N,N
2,0,23,382,0,0,1,0,0,0,0,1,0,0,0,1,0,N,N
0,1,5,623,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N
3,1,14,2688,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N
2,0,2,3101,0,1,1,0,0,1,0,0,1,0,0,1,0,N,N
1,0,13,2205,0,0,1,0,0,0,0,1,1,0,1,0,0,N,N
2,0,12,3120,0,1,1,0,0,1,0,0,1,0,0,1,0,N,N
1,0,6,1618,0,0,1,0,1,1,0,1,1,0,1,1,0,N,N
1,1,10,4752,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N
1,0,10,1576,0,1,0,0,0,1,0,1,1,0,1,0,0,N,N
2,0,2,203,0,0,1,0,0,0,0,1,1,0,0,1,0,N,N
0,1,3,259,0,1,0,0,1,0,0,0,0,0,0,0,0,N,N
1,0,2,1170,0,0,1,0,0,1,0,1,0,0,1,0,0,N,N
2,0,28,2977,0,1,1,0,1,1,0,0,1,0,0,1,0,N,N
2,0,14,927,0,0,1,0,0,1,0,1,1,0,0,1,0,N,N
3,0,6,1099,0,1,1,0,0,1,0,1,0,0,0,1,0,N,N
2,0,21,813,0,0,1,0,0,0,0,1,1,0,1,1,0,N,N
2,0,13,2870,0,0,1,0,0,1,0,0,1,0,0,1,1,T,T
1,0,12,2562,0,1,1,0,1,1,0,1,0,0,1,0,0,N,N
2,0,26,1321,0,0,1,0,0,0,0,1,1,0,1,1,0,N,N
1,0,4,2989,0,1,0,0,1,0,0,1,1,0,1,0,0,N,N
1,1,17,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N
1,0,12,4103,0,1,1,0,1,1,0,1,0,0,0,1,0,N,N
1,1,2,1492,0,1,1,0,0,1,0,0,0,0,0,0,0,N,N
1,0,5,1543,0,1,1,0,1,1,0,1,1,0,1,1,0,N,N
1,0,17,2664,0,1,0,0,1,0,0,1,1,0,0,1,0,N,N
3,1,16,4005,0,0,1,0,0,1,0,0,0,0,0,0,0,N,N
2,0,8,2996,0,1,1,0,1,1,0,0,1,0,0,1,0,N,N
3,0,21,943,0,1,1,0,1,1,0,0,1,0,0,0,0,N,N
1,1,7,2033,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N
1,2,4,4718,0,0,0,0,0,0,0,1,1,0,0,0,0,N,N
1,1,5,1236,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N
1,1,11,4305,0,1,1,0,1,1,0,0,0,0,0,0,1,N,N
3,1,20,2642,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N
1,0,7,3043,0,1,1,0,1,1,0,1,0,0,0,0,0,N,N
2,0,1,1029,0,0,1,0,0,0,0,1,1,0,0,1,0,N,N
1,1,12,3339,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N
3,0,6,1540,0,0,1,0,0,1,0,1,0,0,0,0,0,N,N
2,0,6,912,0,0,1,0,0,0,0,1,1,0,0,1,0,N,N
1,1,1,2842,0,0,1,0,0,1,0,0,0,0,0,0,0,N,N
2,2,5,4381,0,0,0,0,0,0,0,0,1,0,0,1,0,N,N
1,1,4,3294,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N
1,0,7,4523,0,1,0,0,1,0,0,0,1,0,0,0,0,N,N
3,1,15,301,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N
3,1,2,1075,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N
1,2,7,746,0,0,0,0,0,0,0,1,1,1,0,0,1,N,N
3,0,17,1073,0,1,1,0,1,1,0,1,1,0,0,1,0,N,N
1,0,12,4466,0,0,1,0,0,1,0,0,1,0,0,0,1,N,T
3,0,10,1716,0,1,0,0,0,0,0,0,1,0,0,0,0,N,N
3,1,6,3202,0,0,1,0,0,1,0,0,0,0,0,0,0,N,N
3,1,19,2198,0,1,1,0,0,1,0,0,0,0,0,0,0,N,N
2,0,1,544,0,0,1,0,0,0,0,0,1,0,0,0,0,N,N
1,1,11,2215,0,0,1,0,1,1,0,0,0,0,0,0,0,N,N
3,2,6,1539,0,0,0,0,0,0,0,0,1,0,0,0,0,N,N
1,1,17,4652,0,0,1,0,0,1,0,0,0,0,0,0,0,N,N
1,1,8,4818,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N
1,1,12,4963,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N
3,1,18,2155,0,1,0,0,0,0,0,0,0,0,0,0,0,N,N
1,0,8,4600,0,1,0,0,1,1,0,1,1,0,1,1,0,N,N
1,2,16,2312,0,0,0,0,0,0,0,0,1,0,0,0,0,N,N
1,1,17,4558,0,1,1,0,1,0,0,0,0,0,0,0,0,N,N
3,0,13,257,0,1,0,0,0,0,0,1,1,0,1,1,0,N,N
1,1,6,154,0,1,1,0,1,1,0,0,0,0,0,0,0,N,N
1,1,14,1473,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N
1,1,4,160,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N
1,1,5,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N
3,0,13,249,0,0,1,0,0,1,0,0,1,0,0,0,0,N,N
3,0,1,834,0,1,1,0,0,0,0,1,1,0,1,1,1,N,N
2,0,1,3100,0,1,1,0,0,1,0,0,1,0,0,1,0,N,N
2,0,15,2920,0,1,1,0,0,1,0,0,1,0,0,1,0,N,N
1,1,17,4708,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N
1,2,9,1387,0,0,0,0,0,0,0,1,0,0,0,0,0,N,N
1,1,14,3906,0,0,1,0,0,1,0,0,0,0,0,0,0,N,N
2,0,24,1259,0,0,1,0,0,0,0,1,1,0,0,1,0,N,N
3,0,16,822,0,1,1,0,1,1,0,1,1,0,0,0,0,N,N
3,1,21,432,0,0,1,0,0,1,0,0,0,0,0,0,0,N,N
1,1,9,2855,0,0,1,0,0,1,0,0,0,0,0,0,0,N,N
2,0,10,2902,0,1,1,0,0,1,0,0,1,0,0,1,0,N,N
3,2,15,2112,0,0,0,0,0,0,0,1,0,0,0,0,0,N,N
1,0,17,4660,0,0,1,0,0,0,0,1,0,0,0,0,0,N,N
3,0,20,2638,0,0,1,0,0,0,0,1,1,0,0,1,0,N,N
2,0,9,3000,1,1,1,1,1,1,0,0,1,0,0,1,0,N,N
3,0,2,1505,0,0,1,0,0,0,0,0,1,0,0,0,1,T,N
2,0,30,3004,0,1,1,0,1,1,0,0,1,0,0,1,1,N,N
1,1,11,1800,0,1,0,0,1,0,0,0,0,0,0,0,0,N,N
1,0,9,3947,0,1,0,0,0,0,0,1,0,0,1,0,0,N,N
3,0,18,269,0,1,0,0,1,0,0,1,0,0,1,1,0,N,N
1,0,9,4920,0,1,0,0,0,0,0,1,1,0,1,0,0,N,N
2,0,21,1158,0,0,1,0,0,0,0,1,1,0,0,1,0,N,N
3,2,4,3188,0,0,0,0,0,0,0,0,1,0,1,1,0,N,N
1,2,4,3829,0,0,0,0,0,0,0,0,1,0,0,0,0,N,N
3,1,9,2202,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N
1,1,5,1744,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N
1,0,9,2692,0,0,1,0,0,1,0,1,1,0,1,1,0,N,N
1,2,2,4001,0,0,0,0,0,0,0,1,1,0,0,0,0,N,N
1,0,14,2308,0,0,1,0,1,1,0,0,1,0,0,0,0,N,N
1,1,16,3882,0,1,0,0,1,0,0,0,0,0,0,0,0,N,N
2,0,2,813,0,0,1,0,0,0,0,1,1,0,1,1,0,N,N
1,1,13,3885,0,1,0,0,1,0,0,0,0,0,0,0,0,N,N
3,0,20,809,0,0,1,0,0,0,0,1,1,0,1,1,0,N,N
0,0,2,24,0,1,0,0,0,0,0,1,0,0,1,1,0,N,N
3,1,12,1534,0,1,1,0,1,0,0,0,0,0,0,0,0,N,N
1,1,10,1681,0,1,1,0,1,1,0,0,0,0,0,0,0,N,N
0,1,2,615,0,1,0,0,1,0,0,0,0,0,0,0,0,N,N
2,0,26,913,0,0,1,0,0,0,0,1,1,0,0,1,0,N,N
3,2,1,1567,0,0,0,0,0,0,1,1,1,0,0,1,1,T,T
1,0,8,1023,0,1,0,0,0,1,0,1,1,0,1,1,0,N,N
1,1,3,728,0,1,1,0,1,1,0,0,0,0,0,0,0,N,N
1,1,12,4631,0,1,1,0,1,0,0,0,0,0,0,0,0,N,N
1,1,14,3571,0,0,1,0,0,0,0,0,0,0,0,0,0,N,N
1,0,1,2202,0,1,0,0,0,1,0,1,0,0,1,1,0,N,N
3,2,7,1104,0,0,0,0,0,0,0,0,1,0,0,0,0,N,N
0,2,4,380,0,0,0,0,0,0,0,1,0,0,1,1,0,N,N
3,0,18,411,0,1,1,0,1,1,0,1,1,0,1,1,0,N,N
0,0,7,52,1,0,0,0,0,0,0,1,0,0,0,1,1,T,T
0,1,3,156,0,1,0,0,1,0,0,0,0,0,0,0,0,N,N
1,1,12,1060,0,0,1,0,0,1,0,0,0,0,0,0,0,N,N
1,1,12,1095,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N
2,0,5,1173,0,0,1,0,0,0,0,1,1,0,0,1,0,N,N
3,1,21,1069,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N
1,1,7,4865,0,1,0,0,1,0,0,0,0,0,0,0,0,N,N
3,0,7,749,1,0,1,0,0,1,0,0,1,0,0,1,1,T,T
1,1,16,1063,0,0,1,0,0,1,0,0,0,0,0,0,0,N,N
0,2,2,640,0,0,0,0,0,0,0,1,0,0,0,0,1,N,N
1,0,11,737,0,1,0,0,0,0,0,1,0,0,1,0,0,N,N
2,0,14,1174,0,0,1,0,0,0,0,1,0,0,0,1,0,N,N
1,1,6,4775,0,1,0,0,0,0,0,0,0,0,0,0,0,N,N
1,0,8,4325,0,1,1,0,1,1,0,1,1,0,1,1,0,N,N
3,2,17,382,0,0,0,0,0,0,0,1,1,0,0,1,0,N,N
1,1,9,1804,0,1,1,0,0,1,0,0,0,0,0,0,0,N,N
1,2,16,1748,0,0,0,0,0,0,0,0,1,0,0,0,0,N,N
1,1,13,3978,0,0,1,0,0,1,0,0,0,0,0,0,0,N,N
3,2,10,1557,0,0,0,0,0,0,0,1,0,0,1,1,0,N,N
3,0,8,256,0,1,0,0,1,0,0,1,1,0,0,1,0,N,N
0,1,3,401,0,1,0,0,1,0,0,0,0,0,0,0,0,N,N
1,0,4,1376,0,0,1,0,0,1,0,1,1,0,1,0,0,N,N
2,0,31,1122,0,0,1,0,0,0,0,1,0,0,0,1,1,N,N
1,1,16,2173,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N
3,2,3,2599,0,0,0,0,0,0,0,0,1,0,0,1,0,N,N
1,0,17,2082,0,1,0,0,1,0,0,1,1,0,0,1,0,N,N
1,0,12,865,0,1,1,0,1,1,0,1,1,0,1,1,0,N,N
3,2,13,3174,0,0,0,0,0,0,0,0,1,0,0,1,0,N,N
1,1,1,1097,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N
1,1,2,3985,0,0,1,0,0,1,0,0,0,0,0,0,0,N,N
2,0,2,1280,0,0,1,0,0,0,0,1,0,0,0,1,0,N,N
3,0,12,817,0,1,0,0,1,1,0,0,1,0,0,0,0,N,N
2,0,9,3092,0,1,1,0,0,1,0,0,1,0,0,1,0,N,N
1,1,3,3179,0,1,0,0,1,1,0,0,0,0,0,0,0,N,N
1,0,11,4165,0,1,0,0,1,1,0,0,1,0,0,0,0,N,N
1,1,10,616,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N
1,0,7,1094,0,1,0,0,1,0,0,1,1,0,1,1,0,N,N
3,0,3,1501,0,0,1,0,0,0,0,0,1,0,0,0,0,N,N
0,0,4,629,0,1,1,0,0,0,0,1,0,0,0,0,0,N,N
3,0,2,132,0,1,0,0,0,0,0,1,1,0,1,1,0,N,N
1,1,6,3309,0,1,0,0,1,0,0,0,0,0,0,0,0,N,N
1,2,2,2032,0,0,0,0,0,0,0,1,0,0,1,0,0,N,N
1,1,5,4172,0,1,0,0,1,1,0,0,0,0,0,0,0,N,N
1,0,7,170,0,0,1,0,0,1,0,1,0,0,1,0,0,N,N
1,0,3,1653,0,1,0,0,0,1,0,1,1,0,0,1,0,N,N
1,0,10,2669,0,1,0,0,0,1,0,0,1,0,1,1,0,N,N
1,1,7,3176,0,1,1,0,1,1,0,0,0,0,0,0,0,N,N
1,2,8,3162,0,0,0,0,0,0,0,1,0,0,0,0,0,N,N
2,0,10,795,0,0,1,0,0,0,0,1,1,0,0,1,0,N,N
1,2,4,4004,0,0,0,0,0,0,0,1,1,0,0,0,0,N,N
1,0,1,4878,0,0,1,0,0,1,0,1,1,0,1,1,0,N,N
1,2,5,1387,0,0,0,0,0,0,0,1,0,0,0,0,0,N,N
1,0,14,2058,0,1,0,0,1,0,0,1,1,0,1,1,0,N,N
1,0,4,3559,0,1,0,0,1,1,0,1,0,0,1,0,0,N,N
3,0,10,245,0,1,0,0,1,1,0,1,0,0,1,0,0,N,N
0,1,1,223,0,1,0,0,1,1,0,0,0,0,0,0,1,N,N
1,1,7,2845,0,1,0,0,1,1,0,0,0,0,0,0,0,N,N
1,1,1,4965,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N
3,0,14,1528,0,1,1,0,1,1,0,1,1,0,0,1,0,N,N
3,2,19,1108,0,0,0,0,0,0,0,0,1,0,0,0,0,N,N
1,2,14,4537,0,0,0,0,0,0,0,0,1,0,0,0,0,N,N
1,0,5,4539,0,1,0,0,1,1,0,1,1,0,1,0,0,N,N
2,0,12,684,0,0,1,0,0,0,0,1,1,0,1,1,0,N,N
1,0,2,2050,0,1,0,0,1,0,0,1,1,0,1,1,0,N,N
2,0,34,4718,0,1,0,0,0,1,0,0,1,0,0,1,0,N,N
0,0,4,218,0,1,0,1,1,0,0,1,1,1,1,1,1,N,N
3,2,13,1103,0,0,0,0,0,0,0,0,1,0,0,0,0,N,N
1,1,11,1306,0,1,0,0,0,0,0,0,0,0,0,0,0,N,N
1,2,17,1496,0,0,0,0,0,0,0,1,0,0,0,0,0,N,N
0,1,2,36,0,1,0,0,1,0,0,0,0,0,0,0,0,N,N
3,0,3,275,0,1,0,0,1,0,0,0,1,0,0,1,0,N,N
3,0,4,822,0,1,1,0,1,1,0,1,1,0,0,0,0,N,N
1,1,10,2686,0,1,0,0,1,1,0,0,0,0,0,0,0,N,N
1,1,11,21,0,1,1,0,1,1,0,0,0,0,0,0,0,N,N
1,2,9,4741,0,0,0,0,0,0,0,1,1,0,1,1,1,N,N
1,0,13,3048,0,1,0,0,1,0,0,1,1,0,1,1,0,N,N
1,1,7,1547,0,1,0,0,1,1,0,0,0,0,0,0,0,N,N
1,0,6,1383,0,0,1,0,0,1,0,1,0,0,1,1,0,N,N
3,0,1,2708,0,1,0,0,0,0,0,1,1,0,1,1,0,N,N
0,1,3,127,0,1,0,0,1,0,0,0,0,0,0,0,0,N,N
1,0,13,1686,0,1,0,0,1,1,0,0,1,0,0,0,0,N,N
3,0,14,3183,0,1,0,0,1,0,0,0,1,0,0,1,0,N,N
1,0,6,993,0,0,1,0,1,0,0,1,0,0,1,0,0,N,N
0,2,3,169,0,0,0,0,0,0,0,1,1,0,1,0,0,N,N
1,0,11,489,0,1,1,0,1,1,0,1,0,0,1,0,0,N,N
1,0,16,4463,0,0,1,0,0,0,0,1,1,0,0,0,0,N,N
1,1,5,3843,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N
1,2,4,1246,0,0,0,0,0,0,0,0,1,0,0,0,0,N,N
1,1,13,4774,0,0,1,0,0,1,0,0,0,0,0,0,0,N,N
1,1,5,4611,0,1,0,0,1,0,0,0,0,0,0,0,0,N,N
3,1,4,301,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N
1,2,14,1833,0,0,0,0,0,0,0,1,0,0,1,1,0,N,N
1,2,6,650,0,0,0,0,0,0,0,0,1,0,0,1,0,N,N
3,1,17,2710,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N
2,0,7,3089,0,1,0,0,1,1,0,0,1,0,0,1,0,N,N
0,1,1,602,0,1,0,0,0,0,0,0,0,0,0,0,1,N,N
0,1,1,683,1,0,1,0,0,0,0,0,0,0,0,0,1,T,T
1,0,6,143,0,1,1,0,1,1,0,1,0,0,0,0,0,N,N
2,0,13,1314,0,0,1,0,0,0,0,1,1,0,1,1,0,N,N
1,0,13,2067,0,1,0,0,1,0,0,1,1,0,1,1,0,N,N
2,0,31,154,0,0,1,0,0,0,0,1,1,0,0,1,0,N,N
3,0,2,406,0,1,0,0,1,0,0,1,0,0,0,1,0,N,N
3,2,15,2104,0,0,0,0,0,0,0,1,0,0,0,0,0,N,N
0,0,7,47,0,1,0,0,1,0,0,1,0,0,0,0,0,N,N
3,2,16,2116,0,0,0,0,0,0,0,1,1,0,0,0,0,N,N
3,1,2,443,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N
0,0,4,182,0,0,1,0,0,0,0,0,1,0,0,0,1,N,N
2,0,29,284,0,0,1,0,0,0,0,1,0,0,0,1,0,N,N
1,0,14,4033,0,1,0,0,1,0,0,1,0,0,0,1,0,N,N
1,1,4,3868,0,1,0,0,1,0,0,0,0,0,0,0,0,N,N
1,2,16,155,0,0,0,0,0,0,0,1,0,0,1,0,0,N,N
1,1,5,1798,0,1,1,0,0,1,0,0,0,0,0,0,0,N,N
3,1,8,2732,0,0,1,0,0,1,0,0,0,0,0,0,1,T,T
3,0,4,795,0,0,1,0,0,1,0,1,0,0,1,1,0,N,N
1,1,12,1778,0,1,1,0,1,1,0,0,0,0,0,0,0,N,N
1,1,3,642,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N
1,0,5,4481,0,1,1,0,1,1,0,0,1,0,0,0,0,N,N
3,0,4,2708,0,1,0,0,0,0,0,1,1,0,1,1,0,N,N
3,1,3,2607,0,0,1,0,0,0,0,0,0,0,0,0,0,N,N
3,1,21,847,0,0,1,0,0,1,0,0,0,0,0,0,0,N,N
1,2,12,1247,0,0,0,0,0,0,0,0,1,0,0,0,0,N,N
2,2,14,4381,0,0,0,0,0,0,0,0,1,0,0,1,1,T,T
3,1,16,832,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N
1,1,14,2039,0,0,1,0,0,0,0,0,0,0,0,0,0,N,N
1,0,7,2050,0,1,0,0,1,0,0,1,1,0,1,1,0,N,N
3,1,6,1545,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N
1,1,2,2986,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N
1,1,16,4706,0,1,0,0,1,0,0,0,0,0,0,0,0,N,N
1,1,4,4885,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N
3,0,4,380,0,1,0,0,1,0,0,1,1,0,0,1,0,N,N
3,0,3,1099,0,1,1,0,0,1,0,1,0,0,0,1,0,N,N
1,0,14,1189,0,0,1,0,0,1,0,1,0,0,1,0,0,N,N
1,1,14,4005,0,1,0,0,0,0,0,0,0,0,0,0,0,N,N
3,0,5,1609,0,0,1,0,0,1,0,1,1,0,0,1,1,T,N
1,2,6,4927,0,0,0,0,0,0,0,1,1,0,1,1,0,N,N
2,0,24,912,0,0,1,0,0,0,0,1,1,0,0,1,0,N,N
1,1,10,2835,0,1,0,0,0,0,0,0,0,0,0,0,0,N,N
1,1,8,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N
3,2,13,1736,0,0,0,0,0,0,0,1,1,0,1,1,0,N,N
3,1,12,1541,0,1,0,0,0,1,0,0,0,0,0,0,0,N,N
